country,iso3,score_2015,score_2025,change,change_rank
Montenegro,MNE,65.37,72.83,7.459999999999994,1
North Macedonia,MKD,63.74,70.44,6.699999999999996,2
Ukraine,UKR,60.9,63.93,3.030000000000001,3
Armenia,ARM,71.57,73.96,2.3900000000000006,4
Portugal,PRT,82.89,84.26,1.3700000000000045,5
Moldova,MDA,72.15,73.36,1.2099999999999937,6
Liechtenstein,LIE,82.33,83.42,1.0900000000000034,7
Lithuania,LTU,81.2,82.27,1.0699999999999932,8
Estonia,EST,88.81,89.46,0.6499999999999915,9
Norway,NOR,92.25,92.31,0.060000000000002274,10
Latvia,LVA,81.88,81.82,-0.060000000000002274,11
United Kingdom,GBR,80.0,78.89,-1.1099999999999994,12
Ireland,IRL,88.8,86.92,-1.8799999999999955,13
Netherlands,NLD,90.78,88.64,-2.1400000000000006,14
Switzerland,CHE,86.15,83.98,-2.1700000000000017,15
France,FRA,78.85,76.62,-2.2299999999999898,16
Sweden,SWE,90.53,88.13,-2.4000000000000057,17
Spain,ESP,80.05,77.35,-2.700000000000003,18
Luxembourg,LUX,86.39,83.04,-3.3499999999999943,19
Italy,ITA,72.06,68.01,-4.049999999999997,20
Czechia,CZE,88.38,83.96,-4.420000000000002,21
Germany,DEU,88.53,83.85,-4.680000000000007,22
Iceland,ISL,86.13,81.36,-4.769999999999996,23
Denmark,DNK,91.76,86.93,-4.829999999999998,24
Finland,FIN,92.48,87.18,-5.299999999999997,25
Slovenia,SVN,79.45,74.06,-5.390000000000001,26
Bulgaria,BGR,67.09,60.78,-6.310000000000002,27
Belgium,BEL,88.02,80.12,-7.8999999999999915,28
Romania,ROU,75.1,66.42,-8.679999999999993,29
Croatia,HRV,73.88,64.2,-9.679999999999993,30
Hungary,HUN,72.56,62.82,-9.740000000000002,31
Austria,AUT,89.15,78.12,-11.030000000000001,32
Poland,POL,87.29,74.79,-12.5,33
Malta,MLT,75.84,62.96,-12.880000000000003,34
Albania,ALB,71.23,58.18,-13.050000000000004,35
Greece,GRC,68.99,55.37,-13.619999999999997,36
Azerbaijan,AZE,41.59,25.47,-16.120000000000005,37
Bosnia and Herzegovina,BIH,72.49,56.33,-16.159999999999997,38
Slovak Republic,SVK,88.34,71.93,-16.409999999999997,39
Andorra,AND,80.13,63.3,-16.83,40
Serbia,SRB,72.34,53.55,-18.790000000000006,41
Georgia,GEO,72.3,50.53,-21.769999999999996,42
Cyprus,CYP,83.48,59.04,-24.440000000000005,43
Belarus,BLR,52.02,25.73,-26.290000000000003,44
Turkiye,TUR,55.84,29.4,-26.440000000000005,45
Russian Federation,RUS,55.03,24.57,-30.46,46
